title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,boards,status,durationMinutes,views,shares,createdAt
*New* Pre-Sales BVA,new-pre-sales-bva,Choose your own adventure (BVA)! Take customer inputs and Gladly benchmarks to project what a potential 3-year impact could look like for a prospect who is considering Hero and/or Sidekick.,https://docs.google.com/spreadsheets/d/1BX9m4ogrOi6sA3qQtwjSm6WpGqKpT30CxJZh1nWzsvA/edit?gid=1938166837#gid=1938166837,,,,,enablement,tool,value-realization,gladly|gladly-sidekick|gladly-team|sales,enablement,published,,0,0,2025-12-28T08:20:23.496Z
201 SC Implementation Template,201-sc-implementation-template,Implementation Template 201 SC for Solutions Consultants during scoping phase.,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit,,,,,content,slides,template,201|impl|implementation|proposal|sc|scoping,content,published,,0,0,2025-12-28T09:00:03.718Z
Ada Battlecard,ada-battlecard,Competitive battle card positioning Gladly Sidekick against Ada AI no-code automation platform.,https://drive.google.com/file/d/1fnwJuqQuQt7iZDIBa3MePAfncnGF7Ee7/view,,,,,content,pdf,battlecard,ada|automation|gladly|no-code|sidekick|smb,content,published,,0,0,2025-12-28T09:00:03.135Z
Agent Communication Time Metric Play,agent-communication-time-play,Usage Guide for CSMs on Agent Communication Time savings metric and dashboards.,https://docs.google.com/document/d/1WmWw8trPMQW0Pjedem1XZpU1BnckACMhdBs9D-fhb5I/edit,,,,,coe,document,dashboard,act|csm|dashboards|gladly|insights|metrics|sidekick,coe,published,,0,0,2025-12-28T09:00:03.914Z
Airline Vertical Sequence,airline-vertical-sequence,Vertical-specific outbound sequence for airline industry prospects.,https://web.outreach.io/sequences/2156,,,,,content,document,messaging,airline|outreach|sequence|travel|vertical,content,published,,0,0,2025-12-28T09:00:03.718Z
Answer Threads Kickoff Implementation Template,answer-threads-kickoff-template,Q1 FY26 Answer Threads Implementation Kickoff presentation template.,https://docs.google.com/presentation/d/1Kck65Q3II0SPTM1pFjmG3aXRyyRV6pHWfWldkXLzDYU/edit,,,,,content,slides,template,answer-threads|impl|implementation|journeys|kickoff,content,published,,0,0,2025-12-28T09:00:03.718Z
Apollo.io Enablement,apolloio-enablement,Apollo.io integration enablement training and best practices.,https://us-5287.app.gong.io/e/c-share/?tkn=1tl7kn6trsm38i5gk6gvgcri1&email_type=external-invitation-sent&xtid=3uwe6ri6ovh1tup14af,https://us-5287.app.gong.io/e/c-share/?tkn=1tl7kn6trsm38i5gk6gvgcri1&email_type=external-invitation-sent&xtid=3uwe6ri6ovh1tup14af,,,,enablement,live-replay,partner-training,csm|customer-success|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform for Hero Technical Enablement #1,app-platform-for-hero-technical-enablement-1,Technical training #1 on App Platform capabilities for Hero agents.,https://drive.google.com/file/d/176HQcMYwThLP0YQWrL-ZkWpGI1UaBYyg/view,https://drive.google.com/file/d/176HQcMYwThLP0YQWrL-ZkWpGI1UaBYyg/view,,,,enablement,live-replay,technical-training,csm|customer-success|gladly-team|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform for Hero Technical Enablement #2,app-platform-for-hero-technical-enablement-2,Technical training #2 covering Hero-specific App Platform implementations.,https://drive.google.com/file/d/1jTqh28Z8rsgb9-MPxf9cYNcW7MkLgIje/view,https://drive.google.com/file/d/1jTqh28Z8rsgb9-MPxf9cYNcW7MkLgIje/view,,,,enablement,live-replay,technical-training,csm|customer-success|gladly-team|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform Technical Enablement #1,app-platform-technical-enablement-1,Technical enablement session #1 covering App Platform architecture fundamentals.,https://drive.google.com/file/d/1HkmtPSGCnQaiQ7MPB4YiMqKKQAPS73vm/view,https://drive.google.com/file/d/1HkmtPSGCnQaiQ7MPB4YiMqKKQAPS73vm/view,,,,enablement,live-replay,technical-training,csm|customer-success|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform Technical Enablement #2,app-platform-technical-enablement-2,Technical enablement session #2 on App Platform integrations and workflows.,https://drive.google.com/file/d/1TAEXaxvYTSGb-nN3PXOLuB1VqemslX79/view,https://drive.google.com/file/d/1TAEXaxvYTSGb-nN3PXOLuB1VqemslX79/view,,,,enablement,live-replay,technical-training,csm|customer-success|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
App Platform Technical Enablement #3,app-platform-technical-enablement-3,Technical enablement session #3 for advanced App Platform development.,https://drive.google.com/file/d/1OIRseLSyGsriYJGwmH3J_1nSF68RvzSF/view?usp=drive_web,https://drive.google.com/file/d/1OIRseLSyGsriYJGwmH3J_1nSF68RvzSF/view?usp=drive_web,,,,enablement,live-replay,technical-training,csm|customer-success|sales|technical,enablement,published,,0,0,2025-12-28T07:49:21.783Z
Architecture Security and Integrations Deck,architecture-security-integrations-deck,Technical presentation detailing Gladly Platform architecture security reliability and integrations.,https://docs.google.com/presentation/d/1Y5rf0oVvCpRwaDr-3cpDNHx4vNhi3NAtlpRealb2vVc/edit,,,,,content,slides,template,app-platform|architecture|integrations|security|technical,content,published,,0,0,2025-12-28T09:00:03.135Z
Assembled Partner Enablement,assembled-partner-enablement,"This folder contains five files, primarily meeting notes, recordings, and presentation shortcuts from recent ""Enablement Hour"" sessions.",https://drive.google.com/file/d/1vaUoGDqe3YoWSkWptUqS4o12ZeAMKf_p/view?usp=drive_link,https://drive.google.com/file/d/1vaUoGDqe3YoWSkWptUqS4o12ZeAMKf_p/view?usp=drive_link,https://docs.google.com/presentation/d/1ZwI5AlctDo_xJMjxgmg5UubA-FWLZpJRVlXWHnA4lCA/edit?usp=drive_link,https://drive.google.com/drive/folders/1M_Ohrw71Bh1sRAp_AR5VvvRom-yVpxsj,,enablement,live-replay,partner-training,partner,enablement,published,,0,0,2025-12-28T07:49:21.783Z
Automated QBR Decks,automated-qbr-decks,Process for requesting automated Quarterly Business Review slide decks.,https://docs.google.com/presentation/d/11EMqR6s3KOlnRafjzgITBmt4QyUFgvlC2zRxfvsmydU/edit,,,,,content,slides,template,automation|csm|process|qbr|reporting,content,published,,0,0,2025-12-28T09:00:03.135Z
Bottoms Up Pipeline Target Setting,bottoms-up-pipeline-target-setting,"This spreadsheet, titled ""Approach Overview,"" appears to be a financial planning or forecasting document for sales and pipeline targets spanning Q1 FY25 through Q4 FY26.",https://docs.google.com/spreadsheets/d/1QXJX3_K2bS5LwQj-CAtEhVoC-Hwc5EkWnghYs-IrM8U/edit?usp=sharing,,,,,coe,tool,internal-best-practice,sales,coe,published,,0,0,2025-12-28T08:20:23.496Z
Buyout Program Deck,buyout-program-deck,Confidential internal sales presentation template for Gladly Buyout Program.,https://docs.google.com/presentation/d/1cIkq1VaWWpDKbLiloUbFm0y0om6STAOwpBlBxHjjNyw/edit,,,,,content,slides,template,buyout|deal-acceleration|negotiation|pricing,content,published,,0,0,2025-12-28T09:00:03.135Z
