title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptURL,hub,format,type,tags,boards,publishDate,presenter,duration
Fortune article,fortune-article,Fortune magazine coverage of Gladly's Customer AI innovation.,https://brand-studio.fortune.com/gladly/gladly-unveils-customer-ai-to-reverse-the-decade-long-decline-in-cx/?prx_t=J9sJAAAAAAovEQA,,,,,content,article,press,press|customer-ai|brand|enterprise|cx-strategy,content-types|sales,12/28/2025,,
WIRED article,wired-article,WIRED magazine article featuring Gladly's AI-powered customer experience.,https://www.wired.com/sponsored/story/gladly/,,,,,content,article,press,press|customer-ai|brand|enterprise|innovation,content-types|sales,12/28/2025,,
Sidekick Voice PR,sidekick-voice-pr,Press release and media materials for Sidekick Voice launch.,https://finance.yahoo.com/news/gladly-launches-industrys-only-ai-150000369.html,,,,,content,article,press,press|sidekick-voice|launch|ai-voice|product-launch,content-types|product,12/28/2025,,
Flip.cx Voice Battle Card,flip-voice-battlecard,Comprehensive sales and enablement kit for Gladly's Sidekick Voice AI product with competitive positioning against Flip.cx.,https://docs.google.com/document/d/1JOiR2HIDwXNUMvDK46nUV7wtX-ccRtdzgLwVTdAgiU4/edit,,,,,content,document,battlecard,battlecard|flip|sidekick-voice|competitive|voice-ai,competitive|sales|product,12/28/2025,,
Decagon Battlecard,decagon-battlecard,Competitive battle card comparing AI agent platform Decagon with Gladly positioning Gladly as the preferred solution.,https://drive.google.com/file/d/1-KbCuHpkUuCiJmSZkYO9imBki3sa50IZ/view,,,,,content,pdf,battlecard,battlecard|decagon|competitive|ai-agents|enterprise,competitive|sales,12/28/2025,,
Genesys Battlecard,genesys-battlecard,Competitive battle card positioning Gladly against Genesys as a Hero and Sidekick Competitor with key differentiators.,https://docs.google.com/document/d/1h9B0TPLhLPvV1HIu43u4_NQbx0eWhuffYIMW40-kZVM/edit,,,,,content,document,battlecard,battlecard|genesys|competitive|hero|sidekick|ccaas|enterprise,competitive|sales,12/28/2025,,
Zendesk Sidekick Battle Card (External),zendesk-sidekick-battlecard,Competitor battlecard comparing Zendesk AI vs Gladly Sidekick for external sharing.,https://drive.google.com/file/d/1HSkV0bx4q4KltfvBiqCAmcsIEJm7OrhR/view,,,,,content,pdf,battlecard,battlecard|zendesk|competitive|sidekick|ai-agents|helpdesk,competitive|sales,12/28/2025,,
Salesforce Agent Sidekick Battle Card (External),salesforce-agentforce-battlecard,Competitor battlecard comparing Salesforce Agentforce and Gladly Sidekick.,https://drive.google.com/file/d/1T30zPp-W1jWX7vCrU5IP5ZN-6IdoyEqv/view,,,,,content,pdf,battlecard,battlecard|salesforce|agentforce|competitive|sidekick|enterprise|crm,competitive|sales,12/28/2025,,
Intercom Fin Sidekick Battle Card (External),intercom-fin-sidekick-battlecard,Competitor Battlecard comparing Gladly Sidekick and Intercom Fin AI chatbot.,https://drive.google.com/file/d/1it3W8ly3oDsj25SOr-cEkkpnD_pxcyEX/view,,,,,content,pdf,battlecard,battlecard|intercom|fin|competitive|sidekick|chatbot|smb,competitive|sales,12/28/2025,,
Sidekick Sales Differentiation Battle Card,sidekick-differentiation-battlecard,Differentiation Battle Card outlining competitive advantages of Gladly Sidekick offerings.,https://drive.google.com/file/d/1LbVIO3dhY61GxT2_08CQx_5tbl-Q5SmX/view,,,,,content,pdf,battlecard,battlecard|sidekick|differentiation|competitive|positioning|value-prop,competitive|sales,12/28/2025,,
Zendesk Voice Battle Card,zendesk-voice-battlecard,Competitive intelligence for Zendesk Voice including monthly competitor newsletter and battlecards.,https://docs.google.com/document/d/1HslXCHVT2-X4Rvl0eRTlZ0o3ZVbyVfIscjwzwQeQ40o/edit,,,,,content,document,battlecard,battlecard|zendesk|voice|sidekick-voice|competitive|ccaas,competitive|sales|product,12/28/2025,,
Gladly Partner Battle Card One Pager,gladly-partner-battlecard,Partner One Pager providing overview of Gladly's AI-powered customer service platform for partners.,https://drive.google.com/file/d/17_9LCwnL9BH1ZfoeLQOhHPqn7RHNN-If/view,,,,,content,pdf,battlecard,battlecard|partner|overview|customer-ai|platform,competitive|sales|csm,12/28/2025,,
