title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,publishDate,presenter,duration
Sidekick Sales Market Analysis,sidekick-sales-market-analysis,"This document is a comprehensive market research report on the retail and ecommerce AI product recommendation market, valued at over $8.65 billion in 2025.",https://drive.google.com/file/d/1v_igXahYX3M-1WvqIywWBDMVDud9TxBv/view?usp=sharing,https://drive.google.com/file/d/1v_igXahYX3M-1WvqIywWBDMVDud9TxBv/view?usp=sharing,,,,Enablement,live-replay,competitive,competitive|on-demand|competitive|Report|sales|Sales,,,
Sidekick Standalone + Sidekick Sales,enablement-sidekick-standalone-sidekick-sales,"The folder contains foundational enablement documents, including a presentation and notes, from the May 2, 2025 session on the new Sidekick for Zendesk (Standalone) and Sidekick Sales products, det...",https://drive.google.com/drive/folders/1MGcyQeRUqXHwbwvN8o0pRDf2x3haT4ww,https://drive.google.com/drive/folders/1MGcyQeRUqXHwbwvN8o0pRDf2x3haT4ww,https://docs.google.com/presentation/d/15fpA_czMaAo2ups-1qVy7W0LnrP9H42bOpWjPehTHTQ/edit?usp=drive_link,,,Enablement,live-replay,value-realization,value-realization|on-demand|value-realization|sales|Sales,2025-05-25,,
Sidekick Standalone Land Grab,enablement-sidekick-standalone-land-grab,"The ""EH 8/28/25: Sidekick Standalone Land Grab"" folder contains a video recording, a presentation, and meeting notes from an Enablement Hour session on August 28, 2025.",https://drive.google.com/drive/folders/1iHvQKRgV62igGJOs78hiLFqWeJ7pQADb?usp=drive_link,https://drive.google.com/drive/folders/1iHvQKRgV62igGJOs78hiLFqWeJ7pQADb?usp=drive_link,https://docs.google.com/presentation/d/1Ctru88ANHQcZAaikZWBLoMWmEfKOhpyWX5wpwdABe7M/edit?usp=drive_link,,,Enablement,live-replay,gtm-strategy,gtm-strategy|live-replay|gtm-strategy|sales|Sales,,,
Sidekick Standalone Tactical Enablement,enablement-sidekick-standalone-tactical-enablement,"The ""EH: 5/9/25 Sidekick Standalone Qualification, Discovery, Objection Handling"" folder contains comprehensive enablement materials for the launch of the new Sidekick Standalone product, including...",https://drive.google.com/drive/folders/1t5F7F5nUg9aEewVTgKXoynn7IC3goro2,https://drive.google.com/drive/folders/1t5F7F5nUg9aEewVTgKXoynn7IC3goro2,https://docs.google.com/presentation/d/1VFuGWxVBvCQi3zoS4jXFMAP__4X8H0h7xfWibJE63pU/edit?usp=drive_link,,,Enablement,live-replay,competitive,competitive|on-demand|competitive|sales|implementation|Sales|Solutions Consultant,2025-05-09,,
SimpleSat Partnership Enablement,enablement-simplesat-partnership-enablement,"Partnership 8/13/15: SimpleSat folder, which contains four files including a training plan, presentation, and meeting notes.",https://drive.google.com/drive/folders/1nzLYQOMUioW4tN6N9qb2KuCxKyjxp6G0,https://drive.google.com/drive/folders/1nzLYQOMUioW4tN6N9qb2KuCxKyjxp6G0,https://docs.google.com/presentation/d/1URp5rSKYxIoFn9XrjENO9rRpcQzPB4d9/edit?usp=drive_link&ouid=101563278745976180185&rtpof=true&sd=true,,,Enablement,live-replay,partner,partner|on-demand|partner|sales|customer-success|Sales|Customer Success,2025-08-13,,
SK for email + App Platform,enablement-sk-for-email-app-platform,"EH 6/18/25: SK for Email + App Platform, contains the notes and presentation slides from a June 18, 2025, enablement session for the sales and go-to-market teams.",https://drive.google.com/drive/folders/1u8rrVzUyw3uhc7Ih5U8wodF_HI7mDXu8?usp=drive_link,https://drive.google.com/drive/folders/1u8rrVzUyw3uhc7Ih5U8wodF_HI7mDXu8?usp=drive_link,https://docs.google.com/presentation/d/1FUfKSclUPZYBry9UzsrymzadxiNpF9kglqqGBg6G9NE/edit?usp=drive_link,,,Enablement,live-replay,value-realization,value-realization|on-demand|value-realization|sales|Sales,2025-06-18,,
SMB Sales Process Traning,enablement-smb-sales-process-traning,"This folder is a training and reference resource for the Small-to-Medium Business (SMB) team on their new, simplified sales process.",,https://drive.google.com/drive/folders/1OfgqX2HaLKpcgZAI-912TToKg1HrvmkY,,,,Enablement,live-replay,gtm-strategy,gtm-strategy|on-demand|gtm-strategy|sales|Sales,2025-12-10,,
"Social Comments, Product Enhancement Requests, + Competitive Partner Support",enablement-social-comments-product-enhancement-requests-competitive-partner-support,"This folder contains the presentation and notes from an Enablement Hour session held on November 13, 2025, which details three key business updates.",https://drive.google.com/drive/folders/1OlOt1WdDLyFpOfX_eBkYLbGpOWkexTq0,https://drive.google.com/drive/folders/1OlOt1WdDLyFpOfX_eBkYLbGpOWkexTq0,https://docs.google.com/presentation/d/1hvLu8XdxbCTzraq9wmOyLD7dPuEFyBgP70RW1gG5Qwk/edit?usp=drive_link,,,Enablement,live-replay,competitive,competitive|on-demand|competitive|sales|Sales,2025-11-13,,
Technical Buyer (CIO/CTO),enablement-technical-buyer-cio-cto,"The folder contains materials from the ""EH 10/16/25: Technical Buyer Enablement"" session, which addresses the urgent need for the sales team to proactively engage with CIO and CTO personas at key a...",https://drive.google.com/drive/folders/1nbfFUgTi095VsfX3AmmzmuaSYzQocC_6,https://drive.google.com/drive/folders/1nbfFUgTi095VsfX3AmmzmuaSYzQocC_6,https://docs.google.com/presentation/d/1NXc2GmnFDOmtePM-c9G0GrSlY5Fb0VXZHWZKrOF0MuY/edit?usp=drive_link,,,Enablement,live-replay,competitive,competitive|on-demand|competitive|sales|Sales,2025-10-16,"Gina Vivar, Steve West, Andy D'Amato, Marcus Tetwiler",47 min
Transaction Threads,enablement-transaction-threads,"The EH 12/11/24: Transaction Threads folder is a collection of enablement materials, including a presentation, a cheat sheet, and a session recording, focused on Gladly's Self-Service AI capabilities.",,https://drive.google.com/drive/folders/1VLPH84weDD3wreRvorMBlCjM49mcSZob?usp=drive_link,,,,Enablement,live-replay,value-realization,value-realization|live-replay|value-realization|sales|Sales,2024-12-11,,
Unwrapped AI Partnership Enablement,enablement-unwrapped-ai-partnership-enablement,"This video is a recording of a ""Monthly Partnership Enablement"" session where Nathan Smith of Gladly introduces Ben and Ryan from Unwrap.ai, a new data analytics partner.",,https://drive.google.com/file/d/1DHUypayeAeLeiXSsOIcNwvd-jFm4aQy4/view,,,,Enablement,live-replay,partner,partner|live-replay|partner|customer-success|Customer Success,2025-11-12,,
